id,label
0,E
1,K
2,A
3,A
4,G
5,B
6,A
7,L
8,A
9,E
10,E
11,B
12,G
13,A
14,K
15,C
16,C
17,B
18,G
19,E
20,L
21,E
22,B
23,D
24,G
25,G
26,K
27,B
28,K
29,K
30,J
31,A
32,G
33,K
34,A
35,B
36,B
37,A
38,E
39,L
40,E
41,K
42,L
43,E
44,C
45,J
46,L
47,A
48,A
49,C
50,A
51,K
52,G
53,G
54,E
55,A
56,E
57,A
58,K
59,L
60,F
61,C
62,G
63,G
64,C
65,B
66,F
67,A
68,B
69,B
70,B
71,B
72,J
73,B
74,E
75,E
76,D
77,A
78,A
79,K
80,A
81,A
82,F
83,C
84,B
85,G
86,G
87,G
88,F
89,A
90,B
91,D
92,A
93,E
94,K
95,A
96,F
97,L
98,B
99,D
100,G
101,B
102,G
103,G
104,A
105,A
106,C
107,F
108,E
109,E
110,C
111,A
112,A
113,E
114,D
115,D
116,B
117,E
118,A
119,G
120,A
121,J
122,E
123,G
124,B
125,A
126,B
127,L
128,J
129,B
130,L
131,F
132,F
133,A
134,A
135,J
136,G
137,D
138,A
139,A
140,K
141,D
142,L
143,E
144,D
145,A
146,B
147,K
148,E
149,K
150,B
151,F
152,B
153,E
154,B
155,E
156,A
157,J
158,D
159,G
160,G
161,L
162,K
163,J
164,L
165,L
166,E
167,A
168,B
169,L
170,C
171,E
172,E
173,A
174,F
175,E
176,L
177,A
178,K
179,G
180,A
181,A
182,A
183,A
184,J
185,K
186,G
187,A
188,A
189,A
190,B
191,K
192,J
193,J
194,K
195,G
196,E
197,E
198,G
199,L
200,E
201,D
202,F
203,A
204,K
205,E
206,A
207,E
208,A
209,K
210,K
211,A
212,K
213,K
214,B
215,E
216,D
217,A
218,K
219,A
220,J
221,C
222,K
223,E
224,G
225,D
226,B
227,A
228,G
229,C
230,G
231,E
232,D
233,D
234,A
235,A
236,B
237,E
238,A
239,K
240,G
241,K
242,L
243,G
244,B
245,K
246,B
247,A
248,B
249,L
250,G
251,C
252,G
253,L
254,E
255,J
256,B
257,K
258,L
259,G
260,L
261,C
262,L
263,C
264,K
265,A
266,K
267,B
268,B
269,F
270,B
271,G
272,F
273,K
274,D
275,L
276,L
277,D
278,L
279,B
280,C
281,G
282,G
283,A
284,A
285,E
286,G
287,C
288,G
289,D
290,E
291,A
292,K
293,G
294,E
295,E
296,A
297,J
298,E
299,L
300,C
301,A
302,L
303,F
304,G
305,E
306,L
307,K
308,B
309,E
310,B
311,E
312,B
313,G
314,C
315,E
316,A
317,B
318,G
319,K
320,K
321,A
322,A
323,J
324,A
325,B
326,F
327,F
328,E
329,E
330,L
331,L
332,L
333,A
334,E
335,K
336,A
337,G
338,C
339,D
340,K
341,E
342,E
343,F
344,G
345,A
346,J
347,L
348,F
349,A
350,A
351,E
352,E
353,J
354,E
355,G
356,A
357,G
358,K
359,B
360,B
361,B
362,E
363,C
364,E
365,D
366,A
367,G
368,E
369,A
370,E
371,E
372,E
373,K
374,B
375,J
376,E
377,E
378,D
379,B
380,E
381,G
382,K
383,B
384,A
385,C
386,G
387,J
388,C
389,B
390,C
391,A
392,L
393,C
394,A
395,J
396,G
397,E
398,E
399,A
400,D
401,J
402,A
403,F
404,E
